"","sentence","length"
"1","We use some essential cookies to make this website work.",56
"2","We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.",125
"3","We also use cookies set by other sites to help us deliver content from their services.",86
"4","You can change your cookie settings at any time.",48
"5","• Births, death, marriages and care",35
"6","• Citizenship and living in the UK",34
"7","• Passports, travel and living abroad",37
"8","Departments, agencies and public bodies",39
"9","News stories, speeches, letters and notices",43
"10","Detailed guidance, regulations and rules",40
"11","Reports, analysis and official statistics",41
"12","• Policy papers and consultations",33
"13","Data, Freedom of Information releases and corporate reports",59
"14","• Check benefits and financial support you can get",50
"15","• Find out about the Energy Bills Support Scheme",48
"16","• Universal Credit account: sign in",35
"17","• The Code of Practice for Victims of Crime in England and Wales and supporting public information materials",108
"18","Code of Practice for Victims of Crime in England and Wales (Victim's Code)",74
"19","• Right 1: To be able to understand and to be understood",56
"20","• Right 2: To have the details of the crime recorded without unjustified delay",78
"21","• Right 3: To be provided with information when reporting the crime",67
"22","• Right 4: To be referred to services that support victims and have services and support tailored to your needs",111
"23","• Right 5: To be provided with information about compensation",61
"24","• Right 6: To be provided with information about the investigation and prosecution",82
"25","• Right 7: To make a Victim Personal Statement",46
"26","• Right 8: To be given information about the trial, trial process and your role as a witness",92
"27","• Right 9: To be given information about the outcome of the case and any appeals",80
"28","• Right 10: To be paid expenses and have property returned",58
"29","• Right 11: To be given information about the offender following a conviction",77
"30","• Right 12: To make a complaint about your Rights not being met",63
"31","This publication is licensed under the terms of the Open Government Licence v3.0 except where otherwise stated. To view this licence, visit nationalarchives.gov.uk/doc/open-government-licence/version/3 or write to the Information Policy Team, The National Archives, Kew, London TW9 4DU, or email: psi@nationalarchives.gov.uk.",325
"32","Where we have identified any third party copyright information you will need to obtain permission from the copyright holders concerned.",135
"33","This publication is available at https://www.gov.uk/government/publications/the-code-of-practice-for-victims-of-crime/code-of-practice-for-victims-of-crime-in-england-and-wales-victims-code",189
"34","1. To be able to understand and to be understood",48
"35","You have the Right to be given information in a way that is easy to understand and to be provided with help to be understood, including, where necessary, access to interpretation and translation services.",204
"36","2. To have the details of the crime recorded without unjustified delay",70
"37","You have the Right to have details of the crime recorded by the police as soon as possible after the incident. If you are required to provide a witness statement or be interviewed, you have the Right to be provided with additional support to assist you through this process.",274
"38","3. To be provided with information when reporting the crime",59
"39","You have the Right to receive written confirmation when reporting a crime, to be provided with information about the criminal justice process and to be told about programmes or services for victims. This might include services where you can meet with the suspect or offender, which is known as Restorative Justice.",314
"40","4. To be referred to services that support victims and have services and support tailored to your needs",103
"41","You have the Right to be referred to services that support victims, which includes the Right to contact them directly, and to have your needs assessed so services and support can be tailored to meet your needs. If eligible, you have the Right to be offered a referral to specialist support services and to be told about additional support available at court, for example special measures.",388
"42","5. To be provided with information about compensation",53
"43","Where eligible, you have the Right to be told about how to claim compensation for any loss, damage or injury caused as a result of crime.",137
"44","6. To be provided with information about the investigation and prosecution",74
"45","You have the Right to be provided with updates on your case and to be told when important decisions are taken. You also have the Right, at certain stages of the justice process, to ask for decisions to be looked at again by the relevant service provider.",254
"46","7. To make a Victim Personal Statement",38
"47","You have the Right to make a Victim Personal Statement, which tells the court how the crime has affected you and is considered when sentencing the offender. You will be given information about the process.",205
"48","8. To be given information about the trial, trial process and your role as a witness",84
"49","If your case goes to court, you have the Right to be told the time, date and location of any hearing and the outcome of those hearings in a timely way. If you are required to give evidence, you have the Right to be offered appropriate help before the trial and, where possible, if the court allows, to meet with the prosecutor before giving evidence.",350
"50","9. To be given information about the outcome of the case and any appeals",72
"51","You have the Right to be told the outcome of the case and, if the defendant is convicted, to be given an explanation of the sentence. If the offender appeals against their conviction or sentence, you have the Right to be told about the appeal and its outcome.",259
"52","10. To be paid expenses and have property returned",50
"53","If you are required to attend court and give evidence, you have the Right to claim certain expenses. If any of your property was taken as evidence, you have the Right to get it back as soon as possible.",202
"54","11. To be given information about the offender following a conviction",69
"55","Where eligible, you have the Right to be automatically referred to the Victim Contact Scheme, which will provide you with information about the offender and their progress in prison, and if/when they become eligible for consideration of parole or release. Where applicable, you also have the Right to make a new Victim Personal Statement, in which you can say how the crime continues to affect you.",398
"56","12. To make a complaint about your Rights not being met",55
"57","If you believe that you have not received your Rights, you have the Right to make a complaint to the relevant service provider. If you remain unhappy, you can contact the Parliamentary and Health Service Ombudsman.",214
"58","The Code of Practice for Victims of Crime[footnote 1] (Victims’ Code) sets out the services and a minimum standard for these services that must be provided to victims of crime by organisations (referred to as service providers) in England and Wales.",249
"59","Who is a ‘victim’ under this Code?",34
"60","This Code acknowledges that the terms ‘complainant’ and ‘survivor’ are often used in the criminal justice system to describe a person who has made a criminal allegation to the police. However, for the purpose of this Code, the definition of a ‘victim’ is:",255
"61","• a person[footnote 2] who has suffered harm, including physical, mental or emotional harm or economic loss which was directly caused by a criminal offence[footnote 3]",167
"62","• a close relative[footnote 4] (or a nominated family spokesperson) of a person whose death was directly caused by a criminal offence.",134
"63","You can also receive Rights under this Code if you are:",55
"64","• a parent or guardian of the victim if the victim is under 18 years of age [footnote 5] or",91
"65","• a nominated family spokesperson if the victim has a mental impairment or has been so badly injured because of a criminal offence that they are unable to communicate or lacks the capacity to do so.",198
"66","All service providers must have the victim’s best interests as their primary consideration and take the victim’s age, maturity, views, needs and concerns fully into account.",173
"67","Which Rights will apply to you?",31
"68","Which Rights apply to you will depend on whether the crime is reported to the police, if the case goes to court, and whether the defendant is convicted, as well as your personal needs and circumstances. Rights 1, 4 and 12 apply to all victims. The remaining Rights only apply where a crime has been reported to the police. The relevant service provider will tell you which Rights apply to you.",393
"69","How can I expect to be treated?",31
"70","• be treated with respect, dignity, sensitivity, compassion and courtesy;",73
"71","• make informed choices that are fully respected;",49
"72","• have your privacy respected by service providers in accordance with their obligations under the relevant privacy and data protection laws; and",144
"73","• have services provided to assist you and your family to understand and engage with the criminal justice process and that are offered in a professional manner, without discrimination of any kind.",196
"74","If you have suffered harm, including physical, mental or emotional harm or economic loss, as a direct result of witnessing a crime, you are a victim of crime for the purposes of this Code and are able to access services that support victims. You do not need to have provided a statement to or been interviewed by the police, or be required to attend court as a witness.",369
"75","All other witnesses can access services provided under the Witness Charter [footnote 6] rather than under this Code.",116
"76","You have the Right to services under this Code regardless of your resident status. However, if the crime was committed in England or Wales but you live elsewhere, you should access support services where you live. If you are required to give evidence in court in England or Wales, you will be able to access support services while you are in England or Wales.",359
"77","Families bereaved[footnote 7] by murder or manslaughter abroad",62
"78","Families bereaved by murder or manslaughter of a British national committed outside of the United Kingdom should contact the Foreign, Commonwealth & Development Office. They provide support and information about processes in the country where the incident occurred, including repatriation of the deceased. They may also be able to refer the deceased’s family to specialist support services. Further information is available by calling: 020 7008 5000[footnote 8] or at: Death abroad through murder or manslaughter",512
"79","There is a Memorandum of Understanding to help clarify the role of the Foreign, Commonwealth & Development Office, the police and coroners in England and Wales, when a British national is a victim of murder, manslaughter or infanticide abroad. The Memorandum focuses on both the deceased and their family and explains what type of support is available.",352
"80","How can I ensure I receive the best service?",44
"81","Service providers will try to minimise the number of different people you have contact with during your case, and wherever possible, offer you a single point of contact for information. To assist them in delivering your Rights under this Code, you should:",255
"82","• let them know if your contact details or preferences change",61
"83","• ask them questions if you are unsure about anything related to your case or the criminal justice process, and",111
"84","• give service providers your views on the services they are providing to help them deliver and tailor a high-quality service.",126
"85","What if I do not want to receive the Rights offered under this Code?",68
"86","You may decide that you do not want some or all of the Rights under this Code. You should discuss this with the relevant service provider.",138
"87","You can choose to opt back in to receiving Rights under this Code at any time while the case is under active investigation, or prosecution, or the offender is serving their sentence. This does not apply to the Right to access support to help you to cope, and as far as possible, recover from being a victim of crime.",316
"88","This Right is available regardless of whether anyone has been charged, convicted of a criminal offence and regardless of whether you decide to report the crime to the police or you do not wish to cooperate with the investigation.",229
"89","You have the Right to be protected from re-victimisation, intimidation and retaliation during and after the investigation and proceedings. If you are concerned for your immediate safety, you should contact the police on: 999.",225
"90","In the unlikely event that the suspect (pre-trial) or offender (following conviction) escapes from custody, the police will contact you. If it is assessed that the suspect or offender poses a significant risk of harm to you, they will take any necessary measures to ensure your on-going protection.",298
"91","If you are receiving unwanted contact from an offender in prison, you should contact Her Majesty’s Prison and Probation Service Victim Helpline[footnote 9] on: 0300 060 669910 or email: victim.helpline@justice.gov.uk",216
"92","If you receive unwanted contact from an offender who is on licence in the community, you can contact the police or if you have one, your Victim Liaison Officer. If the offender is under 18, you can also report any unwanted contact to the police, but if you know they are being supervised by a Youth Offending Team, you may wish to contact the team directly. Contact details for Youth Offending Teams are available at: www.gov.uk/government/collections/youth-offending-team-contact-details",488
"93","Information provided under this Code",36
"94","Service providers must include information about this Code on their websites. This information must also signpost victims to the relevant pages on: GOV.UK",154
"95","Where required to share information under this Code, service providers must do so effectively and in accordance with their obligations under the Data Protection Act and General Data Protection Regulation 2018 and other relevant legislation.",240
"96","Where there is a high number of victims involved in a case, such as large-scale investment frauds with multiple investor victims, or in other exceptional cases, the service provider may communicate information[footnote 10] that a victim has the Right to under this Code through alternative channels, such as their website, rather than contacting each victim individually.",371
"97","Nothing in this Code requires a service provider to provide information to the victim where its disclosure:",107
"98","• could result in harm to any person",36
"99","• could affect the proper handling of any criminal investigation or prosecution, or could otherwise prejudice any civil or criminal case, or parole proceedings, or",163
"100","• would, in the service provider’s view, be contrary to the interests of national security.",91
"101","What if I am contacted by the media?",36
"102","Generally, journalists can attend and report events that happen in court. Sometimes the media may take an interest in a case and approach you and/or your family for comment. There is no obligation to speak to them. However, you should be careful that you do not do anything to risk unfairly influencing the outcome of a court case and being in contempt of court[footnote 11]",374
"103","If you have any concerns or would like some advice, you can speak with the police or a victim support provider. Alternatively, you can contact the Independent Press Standards Organisation, who will talk to you about your concerns and give practical advice and guidance.",269
"104","If you have been the victim of crime and have a physical or mental health need as a result, you can access National Health Service services. You do not need to have reported a crime to the police in order to access these services.",230
"105","If someone is seriously ill or injured and their life is at risk, call the emergency services on: 999. If it is not a life-threatening emergency, there are several options you can take. You can:",194
"106","• Call 111 (National Health Service England) or 0845 46 47 (National Health Service Wales) non-emergency medical helpline;",122
"107","• go to your local National Health Service walk-in centre or local urgent care centre/minor injuries unit or your local Accident and Emergency (A&E) service department;",168
"108","• visit or call your General Practitioner, who can refer you to specialist services including mental health support; or",119
"109","More information about National Health Service services is available at www.nhs.uk or www.wales.nhs.uk, or by calling: 111/0845 46 47 in (England/ Wales) or by visiting your General Practitioner.",195
"110","As well as being referred by the police, you can also refer yourself to a Sexual Assault Referral Centre[footnote 12]. These centres have specially trained professionals who can give you both physical and mental health support if you have experienced rape or sexual assault, regardless of whether you choose to report the crime to the police or not.",349
